Nombre científico;Presentación
Camarón rosado;Entero
Camarón rosado;Colas
Camarón rosado;Entero enhielado
Camarón rosado;Entero fresco
Camarón cabezón;Entero
Camarón cabezón;Colas
Camarón cabezón;Entero enhielado
Camarón cabezón;Entero fresco
Camarón coliflor;Entero
Camarón coliflor;Colas
Camarón coliflor;Entero enhielado
Camarón coliflor;Entero fresco
Camarón  rojo;Entero
Camarón  rojo;Colas
Camarón  rojo;Entero enhielado
Camarón  rojo;Entero fresco
Camarón blanco;Entero
Camarón blanco;Colas
Camarón blanco;Entero enhielado
Camarón blanco;Entero fresco
Camarón tití;Entero
Camarón tití;Colas
Camarón tití;Entero enhielado
Camarón tití;Entero fresco
Camarón;Entero
Camarón;Colas
Camarón;Entero enhielado
Camarón;Entero fresco
Portunidae;Carne
Portunidae;Entero
Portunidae;Muelas
Portunidae;Entero enhielado
Portunidae;Entero fresco
Portunidae;Pinzas de cangrejo
Trachypenaeus spp.;Entero
Trachypenaeus spp.;Colas
Trachypenaeus spp.;Entero enhielado
Trachypenaeus spp.;Entero fresco
Trachypenaeus spp.;Cola enhielada
Carcharhinus spp.;Filete
Carcharhinus spp.;Tronco
Carcharhinus spp.;Carne
Carcharhinus spp.;Aleta
Carcharhinus spp.;Descabezado
Carcharhinus spp.;Entero
Carcharhinus spp.;Eviscerado
Panulirus gracilis;Carne
Panulirus gracilis;Entero
Panulirus gracilis;Colas
Panulirus gracilis;Entero enhielado
Panulirus gracilis;Entero fresco
Panulirus gracilis;Cola enhielada
Rhinoptera bonasus;Carne
Rhinoptera bonasus;Entero
Rhinoptera bonasus;Entero enhielado
Rhinoptera bonasus;Entero fresco
Callinectes arcuatus;Carne
Callinectes arcuatus;Entero
Callinectes arcuatus;Muelas
Callinectes arcuatus;Entero enhielado
Callinectes arcuatus;Entero fresco
Callinectes arcuatus;Pinzas de cangrejo
Rhizoprionodon lalandii;Filete
Rhizoprionodon lalandii;Tronco
Rhizoprionodon lalandii;Carne
Rhizoprionodon lalandii;Aleta
Rhizoprionodon lalandii;Descabezado
Rhizoprionodon lalandii;Entero
Rhizoprionodon lalandii;Eviscerado
Centrophorus granulosus;Filete
Centrophorus granulosus;Tronco
Centrophorus granulosus;Carne
Centrophorus granulosus;Aleta
Centrophorus granulosus;Descabezado
Centrophorus granulosus;Entero
Centrophorus granulosus;Eviscerado
Potamotrygon magdalenae;Carne
Potamotrygon magdalenae;Entero
Potamotrygon magdalenae;Entero enhielado
Potamotrygon magdalenae;Entero fresco
Mustelus canis;Filete
Mustelus canis;Tronco
Mustelus canis;Carne
Mustelus canis;Aleta
Mustelus canis;Descabezado
